sch,sch_dep,sch_par,sid,story_dep,story_par,text
"There once was a crow.  The crow was sitting on a branch of a tree.  Some cheese was in the beak of the crow.  
A fox observed the crow and tried to discover how to get the cheese.  
The fox came and stood under the tree.  
The fox looked toward the crow and said that he saw a noble bird who was above him.  
The fox said that the beauty of the bird was incomparable.  
The fox said that the hue of the plumage of the bird was exquisite.  
The fox said that -- if the sweetness of the voice of the bird is equal to the fairness of the appearance of the bird -- the bird would be undoubtedly the queen of every bird.  
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.  
The cheese fell.  
The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.  
","1	There	there	_	EX	_	3	expl	_	_
25	your	you	_	PRP$	_	27	nmod:poss	_	_
26	magnificent	magnificent	_	JJ	_	27	amod	_	_
27	figure	figure	_	NN	_	24	dobj	_	_
28	.	.	_	.	_	11	punct	_	_

1	What	what	_	WP	_	4	det	_	_
2	a	a	_	DT	_	4	det	_	_
3	fine	fine	_	JJ	_	4	amod	_	_
4	head	head	_	NN	_	0	root	_	_
5	!	!	_	.	_	4	punct	_	_

1	What	what	_	WDT	_	3	det	_	_
2	powerful	powerful	_	JJ	_	3	amod	_	_
3	shoulders	shoulder	_	NNS	_	0	root	_	_
4	and	and	_	CC	_	3	cc	_	_
5	thighs	thigh	_	NNS	_	3	conj	_	_
6	!	!	_	.	_	3	punct	_	_

1	But	but	_	CC	_	0	root	_	_
2	,	,	_	,	_	1	punct	_	_
3	my	my	_	PRP$	_	5	nmod:poss	_	_
4	dear	dear	_	RB	_	5	amod	_	_
5	friend	friend	_	NN	_	2	root	_	_
6	,	,	_	,	_	5	punct	_	_
7	what	what	_	WDT	_	11	nsubj	_	_
8	in	in	_	IN	_	10	case	_	_
9	the	the	_	DT	_	10	det	_	_
10	world	world	_	NN	_	7	nmod	_	_
11	makes	make	_	VBZ	_	5	acl:relcl	_	_
12	you	you	_	PRP	_	13	nsubj	_	_
13	wear	wear	_	VB	_	11	ccomp	_	_
14	those	those	_	DT	_	16	det	_	_
15	ugly	ugly	_	JJ	_	16	amod	_	_
16	horns	horn	_	NNS	_	13	dobj	_	_
17	?	?	_	.	_	5	punct	_	_

1	You	you	_	PRP	_	3	nsubj	_	_
2	must	must	_	MD	_	3	aux	_	_
3	find	find	_	VB	_	0	root	_	_
4	them	they	_	PRP	_	3	dobj	_	_
5	as	as	_	IN	_	6	advmod	_	_
6	awkward	awkward	_	JJ	_	3	advcl	_	_
7	as	as	_	IN	_	10	mark	_	_
8	they	they	_	PRP	_	10	nsubj	_	_
9	are	be	_	VBP	_	10	cop	_	_
10	unsightly	unsightly	_	JJ	_	6	dep	_	_
11	.	.	_	.	_	3	punct	_	_

1	Believe	believe	_	VB	_	6	advcl	_	_
2	me	I	_	PRP	_	1	dobj	_	_
3	,	,	_	,	_	6	punct	_	_
4	you	you	_	PRP	_	6	nsubj	_	_
5	would	would	_	MD	_	6	aux	_	_
6	do	do	_	VB	_	0	root	_	_
7	much	much	_	RB	_	8	advmod	_	_
8	better	better	_	JJR	_	6	advmod	_	_
9	without	without	_	IN	_	10	case	_	_
10	them	they	_	PRP	_	6	nmod	_	_
11	.	.	_	.	_	6	punct	_	_
12	''	''	_	''	_	6	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	Bull	Bull	_	NNP	_	4	nsubj	_	_
3	was	be	_	VBD	_	4	cop	_	_
4	foolish	foolish	_	JJ	_	0	root	_	_
5	enough	enough	_	JJ	_	4	advmod	_	_
6	to	to	_	TO	_	8	mark	_	_
7	be	be	_	VB	_	8	auxpass	_	_
8	persuaded	persuade	_	VBN	_	4	xcomp	_	_
9	by	by	_	IN	_	11	case	_	_
10	this	this	_	DT	_	11	det	_	_
11	flattery	flattery	_	NN	_	8	nmod	_	_
12	to	to	_	TO	_	13	mark	_	_
13	have	have	_	VB	_	8	xcomp	_	_
14	his	he	_	PRP$	_	15	nmod:poss	_	_
15	horns	horn	_	NNS	_	16	nsubj	_	_
16	cut	cut	_	VBD	_	13	ccomp	_	_
17	off	off	_	RP	_	16	compound:prt	_	_
18	;	;	_	:	_	4	punct	_	_
19	and	and	_	CC	_	4	cc	_	_
20	,	,	_	,	_	4	punct	_	_
21	having	have	_	VBG	_	23	aux	_	_
22	now	now	_	RB	_	23	advmod	_	_
23	lost	lose	_	VBN	_	4	conj	_	_
24	his	he	_	PRP$	_	26	nmod:poss	_	_
25	only	only	_	JJ	_	26	amod	_	_
26	means	means	_	NNS	_	23	dobj	_	_
27	of	of	_	IN	_	28	case	_	_
28	defense	defense	_	NN	_	26	nmod	_	_
29	,	,	_	,	_	4	punct	_	_
30	fell	fall	_	VBD	_	4	conj	_	_
31	an	a	_	DT	_	33	det	_	_
32	easy	easy	_	JJ	_	33	amod	_	_
33	prey	prey	_	NN	_	30	dobj	_	_
34	to	to	_	TO	_	36	case	_	_
35	the	the	_	DT	_	36	det	_	_
36	Lion	Lion	_	NNP	_	30	nmod	_	_
37	.	.	_	.	_	4	punct	_	_

","(S (S (NP (DT A) (NNP Lion)) (VP (VBD watched) (NP (DT a) (JJ fat) (NN Bull) (NN feeding)) (PP (IN in) (NP (DT a) (NN meadow))))) (, ,) (CC and) (S (NP (PRP$ his) (NN mouth)) (VP (VBD watered) (SBAR (WHADVP (WRB when)) (S (NP (PRP he)) (VP (VBD thought) (PP (IN of) (NP (DT the) (JJ royal) (NN feast))) (SBAR (S (NP (PRP he)) (VP (MD would) (VP (VB make)))) (, ,) (CC but) (S (NP (PRP he)) (VP (VBD did) (RB not) (VP (VB dare) (S (VP (TO to) (VP (VB attack) (NP (PRP him))))))))) (, ,) (SBAR (IN for) (S (NP (PRP he)) (VP (VBD was) (ADJP (JJ afraid) (PP (IN of) (NP (PRP$ his) (JJ sharp) (NNS horns)))))))))))) (. .)))
(S (NP (NN Hunger)) (, ,) (ADVP (RB however)) (, ,) (S (ADVP (RB presently)) (VP (VP (VBN compelled) (S (NP (PRP him)) (VP (TO to) (VP (VB do) (NP (NN something)))))) (: :) (CC and) (VP (PP (IN as) (NP (NP (DT the) (NN use)) (PP (IN of) (NP (NN force))))) (VBD did) (NP (RB not) (NN promise) (NN success))))) (, ,) (NP (PRP he)) (VP (VBD determined) (S (VP (TO to) (VP (VB resort) (PP (TO to) (NP (NN artifice))))))) (. .)))
(S (S (VP (VBG Going) (PRT (RP up)) (PP (TO to) (NP (DT the) (NNP Bull))) (PP (IN in) (NP (JJ friendly) (NN fashion))))) (PRN (, ,) (S (NP (PRP he)) (VP (VBD said) (PP (TO to) (NP (PRP him))))) (, ,)) (`` ``) (NP (PRP I)) (VP (MD can) (RB not) (VP (VB help) (S (VP (VBG saying) (SBAR (WHADJP (WRB how) (JJ much)) (S (NP (PRP I)) (VP (VBP admire) (NP (PRP$ your) (JJ magnificent) (NN figure))))))))) (. .)))
(NP (NP (WP What)) (NP (DT a) (JJ fine) (NN head)) (. !)))
(FRAG (WHNP (WDT What) (NP (JJ powerful) (NNS shoulders))) (PP (CC and) (NP (NNS thighs))) (. !)))
(S (ADVP (CC But)) (, ,) (NP (NP (PRP$ my) (ADJP (RB dear)) (NN friend)) (, ,) (SBAR (WHNP (WDT what)) (S (PP (IN in) (NP (DT the) (NN world))) (VP (VBZ makes) (NP (PRP you)))))) (VP (VB wear) (NP (DT those) (JJ ugly) (NNS horns))) (. ?)))
(S (NP (PRP You)) (VP (MD must) (VP (VB find) (NP (PRP them)) (PP (IN as) (NP (JJ awkward))) (SBAR (IN as) (S (NP (PRP they)) (VP (VBP are) (ADJP (JJ unsightly))))))) (. .)))
(S (S (VP (VB Believe) (NP (PRP me)))) (, ,) (NP (PRP you)) (VP (MD would) (VP (VB do) (ADJP (RB much) (JJR better)) (PP (IN without) (NP (PRP them))))) (. .) ('' '')))
(SINV (S (NP (DT The) (NNP Bull)) (VP (VBD was) (ADJP (JJ foolish) (SBAR (S (S (ADJP (JJ enough) (S (VP (TO to) (VP (VB be) (VP (VBN persuaded) (PP (IN by) (NP (DT this) (NN flattery))) (S (VP (TO to) (VP (VB have) (S (NP (PRP$ his) (NNS horns)) (VP (VBD cut) (PRT (RP off))))))))))))) (: ;) (CC and) (, ,) (S (VP (VBG having) (ADVP (RB now)) (VP (VBN lost) (NP (NP (PRP$ his) (JJ only) (NNS means)) (PP (IN of) (NP (NN defense)))))))))))) (, ,) (VP (VBD fell)) (NP (NP (DT an) (JJ easy) (NN prey)) (PP (TO to) (NP (DT the) (NNP Lion)))) (. .)))
","A Lion watched a fat Bull feeding in a meadow, and his mouth watered when he thought of the royal feast he would make, but he did not dare to attack him, for he was afraid of his sharp horns.
Hunger, however, presently compelled him to do something: and as the use of force did not promise success, he determined to resort to artifice.
Going up to the Bull in friendly fashion, he said to him, ""I cannot help saying how much I admire your magnificent figure.  What a fine head!  What powerful shoulders and thighs!  But, my dear friend, what in the world makes you wear those ugly horns?  You must find them as awkward as they are unsightly.  Believe me, you would do much better without them.""
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off; and, having now lost his only means of defense, fell an easy prey to the Lion."
"A summit meeting named G20 summit started on eventful today.  
G20 summit happened annually.  
A world and many leader came and talked about it running a government.  
A people protested because it disagreed about a view.  
The people protested peacefully on a street.  
The people rebelled and created riot.  
The people burned a police car and threw a thing at a police.  
The police alleviated the people of riot.  
The police fired a tear gas at the people and fired a bullet at the people, and the people smashed a window.  
","1	A	a	_	DT	_	3	det	_	_
2	summit	summit	_	NN	_	3	compound	_	_
3	meeting	meeting	_	NN	_	7	nsubj	_	_
4	named	name	_	VBN	_	3	acl	_	_
5	G20	g20	_	NN	_	6	compound	_	_
6	summit	summit	_	NN	_	4	xcomp	_	_
7	started	start	_	VBD	_	0	root	_	_
8	on	on	_	IN	_	9	case	_	_
9	eventful	eventful	_	JJ	_	7	nmod	_	_
10	today	today	_	NN	_	7	nmod:tmod	_	_
11	.	.	_	.	_	7	punct	_	_

1	G20	g20	_	NN	_	2	compound	_	_
2	summit	summit	_	NN	_	3	nsubj	_	_
3	happened	happen	_	VBD	_	0	root	_	_
4	annually	annually	_	RB	_	3	advmod	_	_
5	.	.	_	.	_	3	punct	_	_

1	A	a	_	DT	_	2	det	_	_
2	world	world	_	NN	_	6	nsubj	_	_
3	and	and	_	CC	_	2	cc	_	_
4	many	many	_	JJ	_	5	amod	_	_
5	leader	leader	_	NN	_	2	conj	_	_
6	came	come	_	VBD	_	0	root	_	_
7	and	and	_	CC	_	6	cc	_	_
8	talked	talk	_	VBD	_	6	conj	_	_
9	about	about	_	IN	_	11	mark	_	_
10	it	it	_	PRP	_	11	nsubj	_	_
11	running	run	_	VBG	_	8	advcl	_	_
12	a	a	_	DT	_	13	det	_	_
13	government	government	_	NN	_	11	dobj	_	_
14	.	.	_	.	_	6	punct	_	_

1	A	a	_	DT	_	2	det	_	_
2	people	people	_	NNS	_	3	nsubj	_	_
3	protested	protest	_	VBD	_	0	root	_	_
4	because	because	_	IN	_	6	mark	_	_
5	it	it	_	PRP	_	6	nsubj	_	_
6	disagreed	disagree	_	VBD	_	3	advcl	_	_
7	about	about	_	IN	_	9	case	_	_
8	a	a	_	DT	_	9	det	_	_
9	view	view	_	NN	_	6	nmod	_	_
10	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	people	people	_	NNS	_	3	nsubj	_	_
3	protested	protest	_	VBD	_	0	root	_	_
4	peacefully	peacefully	_	RB	_	3	advmod	_	_
5	on	on	_	IN	_	7	case	_	_
6	a	a	_	DT	_	7	det	_	_
7	street	street	_	NN	_	3	nmod	_	_
8	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	people	people	_	NNS	_	3	nsubj	_	_
3	rebelled	rebel	_	VBD	_	0	root	_	_
4	and	and	_	CC	_	3	cc	_	_
5	created	create	_	VBD	_	3	conj	_	_
6	riot	riot	_	NN	_	5	dobj	_	_
7	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	people	people	_	NNS	_	3	nsubj	_	_
3	burned	burn	_	VBD	_	0	root	_	_
4	a	a	_	DT	_	6	det	_	_
5	police	police	_	NN	_	6	compound	_	_
6	car	car	_	NN	_	3	dobj	_	_
7	and	and	_	CC	_	3	cc	_	_
8	threw	throw	_	VBD	_	3	conj	_	_
9	a	a	_	DT	_	10	det	_	_
10	thing	thing	_	NN	_	8	dobj	_	_
11	at	at	_	IN	_	13	case	_	_
12	a	a	_	DT	_	13	det	_	_
13	police	police	_	NN	_	8	nmod	_	_
14	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	police	police	_	NN	_	3	nsubj	_	_
3	alleviated	alleviate	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	people	people	_	NNS	_	3	dobj	_	_
6	of	of	_	IN	_	7	case	_	_
7	riot	riot	_	NN	_	5	nmod	_	_
8	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	police	police	_	NN	_	3	nsubj	_	_
3	fired	fire	_	VBD	_	0	root	_	_
4	a	a	_	DT	_	6	det	_	_
5	tear	tear	_	VB	_	6	amod	_	_
6	gas	gas	_	NN	_	3	dobj	_	_
7	at	at	_	IN	_	9	case	_	_
8	the	the	_	DT	_	9	det	_	_
9	people	people	_	NNS	_	3	nmod	_	_
10	and	and	_	CC	_	3	cc	_	_
11	fired	fire	_	VBD	_	3	conj	_	_
12	a	a	_	DT	_	13	det	_	_
13	bullet	bullet	_	NN	_	11	dobj	_	_
14	at	at	_	IN	_	16	case	_	_
15	the	the	_	DT	_	16	det	_	_
16	people	people	_	NNS	_	11	nmod	_	_
17	,	,	_	,	_	3	punct	_	_
18	and	and	_	CC	_	3	cc	_	_
19	the	the	_	DT	_	20	det	_	_
20	people	people	_	NNS	_	21	nsubj	_	_
21	smashed	smash	_	VBD	_	3	conj	_	_
22	a	a	_	DT	_	23	det	_	_
23	window	window	_	NN	_	21	dobj	_	_
24	.	.	_	.	_	3	punct	_	_

","(S (NP (NP (DT A) (NN summit) (NN meeting)) (VP (VBN named) (NP (NN G20) (NN summit)))) (VP (VBD started) (PP (IN on) (NP-TMP (JJ eventful) (NN today)))) (. .)))
(S (NP (NN G20) (NN summit)) (VP (VBD happened) (ADVP (RB annually))) (. .)))
(S (NP (NP (DT A) (NN world)) (CC and) (NP (JJ many) (NN leader))) (VP (VBD came) (CC and) (VBD talked) (PP (IN about) (S (NP (PRP it)) (VP (VBG running) (NP (DT a) (NN government)))))) (. .)))
(S (NP (DT A) (NNS people)) (VP (VBD protested) (SBAR (IN because) (S (NP (PRP it)) (VP (VBD disagreed) (PP (IN about) (NP (DT a) (NN view))))))) (. .)))
(S (NP (DT The) (NNS people)) (VP (VBD protested) (ADVP (RB peacefully)) (PP (IN on) (NP (DT a) (NN street)))) (. .)))
(S (NP (DT The) (NNS people)) (VP (VP (VBD rebelled)) (CC and) (VP (VBD created) (NP (NN riot)))) (. .)))
(S (NP (DT The) (NNS people)) (VP (VP (VBD burned) (NP (DT a) (NN police) (NN car))) (CC and) (VP (VBD threw) (NP (DT a) (NN thing)) (PP (IN at) (NP (DT a) (NN police))))) (. .)))
(S (NP (DT The) (NN police)) (VP (VBD alleviated) (NP (NP (DT the) (NNS people)) (PP (IN of) (NP (NN riot))))) (. .)))
(S (S (NP (DT The) (NN police)) (VP (VP (VBD fired) (S (NP (DT a)) (VP (VB tear) (NP (NN gas)) (PP (IN at) (NP (DT the) (NNS people)))))) (CC and) (VP (VBD fired) (NP (DT a) (NN bullet)) (PP (IN at) (NP (DT the) (NNS people)))))) (, ,) (CC and) (S (NP (DT the) (NNS people)) (VP (VBD smashed) (NP (DT a) (NN window)))) (. .)))
",blogs-01,"1	Today	today	_	NN	_	7	nsubj	_	_
2	was	be	_	VBD	_	7	cop	_	_
3	a	a	_	DT	_	7	det	_	_
4	very	very	_	RB	_	5	advmod	_	_
5	eventful	eventful	_	JJ	_	7	amod	_	_
6	work	work	_	NN	_	7	compound	_	_
7	day	day	_	NN	_	0	root	_	_
8	.	.	_	.	_	7	punct	_	_

1	Today	today	_	NN	_	4	nsubj	_	_
2	was	be	_	VBD	_	4	cop	_	_
3	the	the	_	DT	_	4	det	_	_
4	start	start	_	NN	_	0	root	_	_
5	of	of	_	IN	_	8	case	_	_
6	the	the	_	DT	_	8	det	_	_
7	G20	g20	_	NN	_	8	compound	_	_
8	summit	summit	_	NN	_	4	nmod	_	_
9	.	.	_	.	_	4	punct	_	_

1	It	it	_	PRP	_	2	nsubj	_	_
2	happens	happen	_	VBZ	_	0	root	_	_
3	every	every	_	DT	_	4	det	_	_
4	year	year	_	NN	_	2	nmod:tmod	_	_
5	and	and	_	CC	_	2	cc	_	_
6	it	it	_	PRP	_	7	nsubj	_	_
7	is	be	_	VBZ	_	2	conj	_	_
8	where	where	_	WRB	_	16	advmod	_	_
9	20	20	_	CD	_	16	nsubj	_	_
10	of	of	_	IN	_	12	case	_	_
11	the	the	_	DT	_	12	det	_	_
12	leaders	leader	_	NNS	_	9	nmod	_	_
13	of	of	_	IN	_	15	case	_	_
14	the	the	_	DT	_	15	det	_	_
15	world	world	_	NN	_	12	nmod	_	_
16	come	come	_	VBN	_	7	advcl	_	_
17	together	together	_	RB	_	16	advmod	_	_
18	to	to	_	TO	_	19	mark	_	_
19	talk	talk	_	VB	_	16	xcomp	_	_
20	about	about	_	IN	_	23	mark	_	_
21	how	how	_	WRB	_	23	advmod	_	_
22	to	to	_	TO	_	23	mark	_	_
23	run	run	_	VB	_	19	advcl	_	_
24	their	they	_	PRP$	_	25	nmod:poss	_	_
25	governments	government	_	NNS	_	23	dobj	_	_
26	effectively	effectively	_	RB	_	23	advmod	_	_
27	and	and	_	CC	_	23	cc	_	_
28	what	what	_	WP	_	23	conj	_	_
29	not	not	_	RB	_	28	neg	_	_
30	.	.	_	.	_	2	punct	_	_

1	Since	since	_	IN	_	3	mark	_	_
2	there	there	_	EX	_	3	expl	_	_
3	are	be	_	VBP	_	0	root	_	_
4	so	so	_	RB	_	5	advmod	_	_
5	many	many	_	JJ	_	6	amod	_	_
6	leaders	leader	_	NNS	_	3	nsubj	_	_
7	coming	come	_	VBG	_	6	acl	_	_
8	together	together	_	RB	_	7	advmod	_	_
9	their	they	_	PRP$	_	11	nsubj	_	_
10	are	be	_	VBP	_	11	aux	_	_
11	going	go	_	VBG	_	7	ccomp	_	_
12	to	to	_	TO	_	15	mark	_	_
13	be	be	_	VB	_	15	cop	_	_
14	a	a	_	DT	_	15	det	_	_
15	lot	lot	_	NN	_	11	xcomp	_	_
16	of	of	_	IN	_	17	case	_	_
17	people	people	_	NNS	_	15	nmod	_	_
18	who	who	_	WP	_	19	nsubj	_	_
19	have	have	_	VBP	_	17	acl:relcl	_	_
20	different	different	_	JJ	_	21	amod	_	_
21	views	view	_	NNS	_	19	dobj	_	_
22	on	on	_	IN	_	25	mark	_	_
23	how	how	_	WRB	_	25	advmod	_	_
24	to	to	_	TO	_	25	mark	_	_
25	run	run	_	VB	_	19	advcl	_	_
26	the	the	_	DT	_	27	det	_	_
27	government	government	_	NN	_	25	dobj	_	_
28	they	they	_	PRP	_	29	nsubj	_	_
29	follow	follow	_	VBP	_	15	acl:relcl	_	_
30	so	so	_	IN	_	32	mark	_	_
31	they	they	_	PRP	_	32	nsubj	_	_
32	protest	protest	_	VBP	_	29	advcl	_	_
33	.	.	_	.	_	3	punct	_	_

1	There	there	_	EX	_	2	expl	_	_
2	was	be	_	VBD	_	0	root	_	_
3	a	a	_	DT	_	4	det	_	_
4	protest	protest	_	NN	_	2	nsubj	_	_
5	that	that	_	WDT	_	6	nsubj	_	_
6	happened	happen	_	VBD	_	4	acl:relcl	_	_
7	along	along	_	IN	_	9	case	_	_
8	the	the	_	DT	_	9	det	_	_
9	street	street	_	NN	_	6	nmod	_	_
10	where	where	_	WRB	_	12	advmod	_	_
11	I	I	_	PRP	_	12	nsubj	_	_
12	work	work	_	VBP	_	9	acl:relcl	_	_
13	and	and	_	CC	_	12	cc	_	_
14	at	at	_	IN	_	15	case	_	_
15	first	first	_	JJ	_	17	advcl	_	_
16	it	it	_	PRP	_	17	nsubj	_	_
17	looked	look	_	VBD	_	12	conj	_	_
18	peaceful	peaceful	_	JJ	_	17	xcomp	_	_
19	until	until	_	IN	_	24	mark	_	_
20	a	a	_	DT	_	21	det	_	_
21	bunch	bunch	_	NN	_	24	nsubj	_	_
22	of	of	_	IN	_	23	case	_	_
23	people	people	_	NNS	_	21	nmod	_	_
24	started	start	_	VBD	_	17	advcl	_	_
25	rebelling	rebel	_	VBG	_	24	xcomp	_	_
26	and	and	_	CC	_	25	cc	_	_
27	creating	create	_	VBG	_	25	conj	_	_
28	a	a	_	DT	_	29	det	_	_
29	riot	riot	_	NN	_	25	dobj	_	_
30	.	.	_	.	_	2	punct	_	_

1	Police	Police	_	NNP	_	2	compound	_	_
2	cars	car	_	NNS	_	4	nsubjpass	_	_
3	were	be	_	VBD	_	4	auxpass	_	_
4	burned	burn	_	VBN	_	0	root	_	_
5	and	and	_	CC	_	4	cc	_	_
6	things	thing	_	NNS	_	8	nsubjpass	_	_
7	were	be	_	VBD	_	8	auxpass	_	_
8	thrown	throw	_	VBN	_	4	conj	_	_
9	at	at	_	IN	_	10	case	_	_
10	cops	cop	_	NNS	_	8	nmod	_	_
11	.	.	_	.	_	4	punct	_	_

1	Police	police	_	NNS	_	6	nsubj	_	_
2	were	be	_	VBD	_	6	cop	_	_
3	in	in	_	IN	_	6	case	_	_
4	full	full	_	JJ	_	6	amod	_	_
5	riot	riot	_	NN	_	6	compound	_	_
6	gear	gear	_	NN	_	0	root	_	_
7	to	to	_	TO	_	8	mark	_	_
8	alleviate	alleviate	_	VB	_	6	acl	_	_
9	the	the	_	DT	_	10	det	_	_
10	violence	violence	_	NN	_	8	dobj	_	_
11	.	.	_	.	_	6	punct	_	_

1	As	as	_	IN	_	3	mark	_	_
2	things	thing	_	NNS	_	3	nsubj	_	_
3	got	get	_	VBD	_	12	advcl	_	_
4	worse	worse	_	JJR	_	3	xcomp	_	_
5	tear	tear	_	VB	_	4	dep	_	_
6	gas	gas	_	NN	_	10	compound	_	_
7	and	and	_	CC	_	6	cc	_	_
8	bean	bean	_	NN	_	6	conj	_	_
9	bag	bag	_	NN	_	10	compound	_	_
10	bullets	bullet	_	NNS	_	5	dobj	_	_
11	were	be	_	VBD	_	12	auxpass	_	_
12	fired	fire	_	VBN	_	0	root	_	_
13	at	at	_	IN	_	15	case	_	_
14	the	the	_	DT	_	15	det	_	_
15	rioters	rioter	_	NNS	_	12	nmod	_	_
16	while	while	_	IN	_	18	mark	_	_
17	they	they	_	PRP	_	18	nsubj	_	_
18	smash	smash	_	VBP	_	12	advcl	_	_
19	windows	window	_	NNS	_	18	dobj	_	_
20	of	of	_	IN	_	21	case	_	_
21	stores	store	_	NNS	_	19	nmod	_	_
22	.	.	_	.	_	12	punct	_	_

1	And	and	_	CC	_	4	cc	_	_
2	this	this	_	DT	_	4	nsubj	_	_
3	all	all	_	DT	_	4	dep	_	_
4	happened	happen	_	VBD	_	0	root	_	_
5	right	right	_	RB	_	7	advmod	_	_
6	in	in	_	IN	_	7	case	_	_
7	front	front	_	NN	_	4	nmod	_	_
8	of	of	_	IN	_	10	case	_	_
9	my	my	_	PRP$	_	10	nmod:poss	_	_
10	store	store	_	NN	_	7	nmod	_	_
11	which	which	_	WDT	_	13	nsubj	_	_
12	was	be	_	VBD	_	13	cop	_	_
13	kind	kind	_	NN	_	10	acl:relcl	_	_
14	of	of	_	IN	_	15	case	_	_
15	scary	scary	_	JJ	_	13	nmod	_	_
16	but	but	_	CC	_	13	cc	_	_
17	it	it	_	PRP	_	19	nsubj	_	_
18	was	be	_	VBD	_	19	cop	_	_
19	kind	kind	_	NN	_	13	conj	_	_
20	of	of	_	IN	_	21	case	_	_
21	interesting	interesting	_	JJ	_	19	nmod	_	_
22	since	since	_	IN	_	26	mark	_	_
23	I	I	_	PRP	_	26	nsubj	_	_
24	've	have	_	VBP	_	26	aux	_	_
25	never	never	_	RB	_	26	neg	_	_
26	seen	see	_	VBN	_	19	advcl	_	_
27	a	a	_	DT	_	28	det	_	_
28	riot	riot	_	NN	_	26	dobj	_	_
29	before	before	_	IN	_	26	advmod	_	_
30	.	.	_	.	_	4	punct	_	_

","(S (NP (NN Today)) (VP (VBD was) (NP (DT a) (ADJP (RB very) (JJ eventful)) (NN work) (NN day))) (. .)))
(S (NP (NN Today)) (VP (VBD was) (NP (NP (DT the) (NN start)) (PP (IN of) (NP (DT the) (NN G20) (NN summit))))) (. .)))
(S (S (NP (PRP It)) (VP (VBZ happens) (NP (DT every) (NN year)))) (CC and) (S (NP (PRP it)) (VP (VBZ is) (SBAR (WHADVP (WRB where)) (S (NP (NP (CD 20)) (PP (IN of) (NP (NP (DT the) (NNS leaders)) (PP (IN of) (NP (DT the) (NN world)))))) (VP (VP (VBN come) (ADVP (RB together)) (S (VP (TO to) (VP (VB talk) (PP (IN about) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB run) (NP (PRP$ their) (NNS governments)) (ADVP (RB effectively))))))))))) (CC and) (VP (NP (WP what)) (ADVP (RB not)))))))) (. .)))
(S (SBAR (IN Since) (S (NP (EX there)) (VP (VBP are) (ADVP (RB so) (NP (JJ many) (NNS leaders))) (VP (VBG coming) (ADVP (RB together)))))) (NP (PRP$ their)) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP have) (NP (NP (JJ different) (NNS views)) (PP (IN on) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB run) (NP (NP (DT the) (NN government)) (SBAR (S (NP (PRP they)) (VP (VBP follow) (SBAR (IN so) (S (NP (PRP they)) (VP (VBP protest))))))))))))))))))))))))) (. .)))
(S (S (NP (EX There)) (VP (VBD was) (NP (NP (DT a) (NN protest)) (SBAR (WHNP (WDT that)) (S (VP (VBD happened) (PP (IN along) (NP (DT the) (NN street))) (SBAR (WHADVP (WRB where)) (S (NP (PRP I)) (VP (VBP work)))))))))) (CC and) (S (ADVP (IN at) (JJ first)) (NP (PRP it)) (VP (VBD looked) (ADJP (JJ peaceful)) (SBAR (IN until) (S (NP (NP (DT a) (NN bunch)) (PP (IN of) (NP (NNS people)))) (VP (VBD started) (S (VP (VBG rebelling) (CC and) (VBG creating) (NP (DT a) (NN riot))))))))) (. .)))
(S (S (NP (NNP Police) (NNS cars)) (VP (VBD were) (VP (VBN burned)))) (CC and) (S (NP (NNS things)) (VP (VBD were) (VP (VBN thrown) (PP (IN at) (NP (NNS cops)))))) (. .)))
(S (NP (NNS Police)) (VP (VBD were) (PP (IN in) (NP (JJ full) (NN riot) (NN gear))) (S (VP (TO to) (VP (VB alleviate) (NP (DT the) (NN violence)))))) (. .)))
(S (SBAR (IN As) (S (NP (NNS things)) (VP (VBD got) (ADJP (JJR worse))))) (VP (VB tear) (SBAR (S (NP (NN gas) (CC and) (NN bean) (NN bag) (NNS bullets)) (VP (VBD were) (VP (VBN fired) (PP (IN at) (NP (DT the) (NNS rioters))) (SBAR (IN while) (S (NP (PRP they)) (VP (VBP smash) (NP (NP (NNS windows)) (PP (IN of) (NP (NNS stores)))))))))))) (. .)))
